GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Centralized Data Access,com.cda.api,TenantRegistryModel,39,87,1,1,9,24,2,8,1,8
Centralized Data Access,com.cda.persistence,PersistenceUnitInfoImpl,17,78,0,0,8,18,6,14,6,14
Centralized Data Access,com.cda.persistence,PersistenceServiceImpl,0,75,0,0,0,23,0,3,0,3
Centralized Data Access,com.cda.persistence,TransactionHandler,53,35,8,2,19,13,7,3,2,3
Centralized Data Access,com.cda.persistence,DatabaseContextImpl,0,24,1,3,0,7,1,4,0,3
Centralized Data Access,com.cda.utils,EncryptionServiceImpl,14,232,0,0,6,20,0,4,0,4
Centralized Data Access,com.cda.utils,JdbcDriver,2,76,1,1,0,12,1,4,0,4
Centralized Data Access,com.cda.controller,TenantController,11,19,0,0,3,6,2,3,2,3
Centralized Data Access,com.cda.controller,BaseController,54,35,0,0,14,9,3,4,3,4
Centralized Data Access,com.cda.controller,HomeController,2,3,0,0,1,1,1,1,1,1
Centralized Data Access,com.cda.service.tenant,TenantServiceImpl,93,295,10,2,21,76,7,7,1,7
Centralized Data Access,com.cda.service,BaseService,0,15,0,0,0,6,0,3,0,3
Centralized Data Access,com.cda.service,ServiceFactoryImpl,0,46,1,1,0,13,1,4,0,4
Centralized Data Access,com.cda.model,TenantInputModel,41,75,3,3,8,14,9,7,6,7
Centralized Data Access,com.cda.model,TenantQueryInputModel,33,0,0,0,5,0,7,0,7,0
Centralized Data Access,com.cda.entities,Tenant_,3,0,0,0,1,0,1,0,1,0
Centralized Data Access,com.cda.entities,Tenant,23,33,0,0,2,7,6,6,6,6
Centralized Data Access,com.cda.configuration,ApplicationProperties,0,47,0,0,0,11,0,11,0,11
Centralized Data Access,com.cda.repository.tenant,TenantRepositoryImpl,0,5,0,0,0,2,0,1,0,1
Centralized Data Access,com.cda,Main,5,3,0,0,2,1,1,1,1,1
Centralized Data Access,com.cda,RequestHandler,0,37,0,0,0,9,0,4,0,4
Centralized Data Access,com.cda.repository,BaseRepository,40,22,2,0,11,6,5,3,4,3
Centralized Data Access,com.cda.repository,RepositoryFactoryImpl,0,13,0,0,0,4,0,2,0,2
Centralized Data Access,com.cda.multitenant,TenantContext,4,19,0,0,1,7,1,3,1,3
Centralized Data Access,com.cda.multitenant,WebConfiguration,0,12,0,0,0,5,0,2,0,2
Centralized Data Access,com.cda.multitenant,TenantInterceptor,5,24,1,1,1,9,1,4,0,4
Centralized Data Access,com.cda.multitenant,TenantAwareTaskDecorator,16,0,0,0,7,0,3,0,3,0
Centralized Data Access,com.cda.multitenant,TenantEntityManagerFactoryContext,50,22,13,3,10,6,10,2,2,2
Centralized Data Access,com.cda.multitenant,AsyncConfig,25,3,0,0,8,1,1,1,1,1
Centralized Data Access,com.cda.multitenant,CurrentTenantIdentifierResolverImpl,11,3,2,0,5,1,3,1,2,1
Centralized Data Access,com.cda.exceptions,TenantRegistryException,9,0,0,0,4,0,2,0,2,0
Centralized Data Access,com.cda.exceptions,TenantContextException,13,0,0,0,6,0,3,0,3,0
Centralized Data Access,com.cda.exceptions,TenantConnectionException,13,0,0,0,6,0,3,0,3,0
